,level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
0,1,1,0,0,0,0,0,0,821,501,-1,
1,2,1,1,0,0,0,191,7,603,46,-1,
2,3,1,1,1,0,0,191,7,603,46,-1,
3,4,1,1,1,1,0,191,7,603,26,-1,
4,5,1,1,1,1,1,191,16,74,17,96,Designed
5,5,1,1,1,1,2,271,17,16,12,95,to
6,5,1,1,1,1,3,292,16,70,13,96,Enhance
7,5,1,1,1,1,4,367,16,25,13,97,the
8,5,1,1,1,1,5,398,16,42,17,96,Entry
9,5,1,1,1,1,6,445,20,10,9,94,of
10,5,1,1,1,1,7,461,3,44,34,96,your
11,5,1,1,1,1,8,517,20,34,9,96,home
12,5,1,1,1,1,9,556,17,24,12,96,with
13,5,1,1,1,1,10,607,7,50,22,96,Custom
14,5,1,1,1,1,11,657,7,106,22,65,Ornamental
15,4,1,1,1,2,0,191,36,500,17,-1,
16,5,1,1,1,2,1,191,36,85,13,71,Decorative
17,5,1,1,1,2,2,282,36,73,32,95,Driveway
18,5,1,1,1,2,3,361,36,46,13,96,Gates
19,5,1,1,1,2,4,412,36,32,23,63,while
20,5,1,1,1,2,5,460,36,66,16,63,bringing
21,5,1,1,1,2,6,532,36,52,16,86,"Safety,"
22,5,1,1,1,2,7,590,36,67,16,73,Security
23,5,1,1,1,2,8,662,36,29,13,90,and
24,2,1,2,0,0,0,8,2,786,274,-1,
25,3,1,2,1,0,0,8,2,786,274,-1,
26,4,1,2,1,1,0,8,2,786,274,-1,
27,5,1,2,1,1,1,8,2,786,274,95,   
28,2,1,3,0,0,0,299,266,125,7,-1,
29,3,1,3,1,0,0,299,266,125,7,-1,
30,4,1,3,1,1,0,299,266,125,7,-1,
31,5,1,3,1,1,1,292,254,35,28,10,Farag
32,5,1,3,1,1,2,337,254,21,28,13,pier
33,5,1,3,1,1,3,362,254,27,28,47,senda
34,5,1,3,1,1,4,397,266,27,6,56,mao
35,2,1,4,0,0,0,6,262,788,239,-1,
36,3,1,4,1,0,0,6,262,788,239,-1,
37,4,1,4,1,1,0,424,263,370,13,-1,
38,5,1,4,1,1,1,424,263,370,13,95, 
39,4,1,4,1,2,0,6,262,103,239,-1,
40,5,1,4,1,2,1,6,262,103,239,95,   
41,2,1,5,0,0,0,109,268,684,87,-1,
42,3,1,5,1,0,0,109,268,684,87,-1,
43,4,1,5,1,1,0,109,268,171,12,-1,
44,5,1,5,1,1,1,109,268,22,12,96,Top
